Date,Close/Last
02/28/2020,$273.36
02/27/2020,$273.52
02/26/2020,$292.65
02/25/2020,$288.08
02/24/2020,$298.18
02/21/2020,$313.05
02/20/2020,$320.3
02/19/2020,$323.62
02/18/2020,$319
02/14/2020,$324.95
02/13/2020,$324.87
02/12/2020,$327.2
02/11/2020,$319.61
02/10/2020,$321.55
02/07/2020,$320.03
02/06/2020,$325.21
02/05/2020,$321.45
02/04/2020,$318.85
02/03/2020,$308.66
01/31/2020,$309.51
01/30/2020,$323.87
01/29/2020,$324.34
01/28/2020,$317.69
01/27/2020,$308.95
01/24/2020,$318.31
01/23/2020,$319.23
01/22/2020,$317.7
01/21/2020,$316.57
01/17/2020,$318.73
01/16/2020,$315.24
01/15/2020,$311.34
01/14/2020,$312.68
01/13/2020,$316.96
01/10/2020,$310.33
01/09/2020,$309.63
01/08/2020,$303.19
01/07/2020,$298.39
01/06/2020,$299.8
01/03/2020,$297.43
01/02/2020,$300.35
12/31/2019,$293.65
12/30/2019,$291.52
12/27/2019,$289.8
12/26/2019,$289.91
12/24/2019,$284.27
12/23/2019,$284
12/20/2019,$279.44
12/19/2019,$280.02
12/18/2019,$279.74
12/17/2019,$280.41
12/16/2019,$279.86
12/13/2019,$275.15
12/12/2019,$271.46
12/11/2019,$270.77
12/10/2019,$268.48
12/09/2019,$266.92
12/06/2019,$270.71
12/05/2019,$265.58
12/04/2019,$261.74
12/03/2019,$259.45
12/02/2019,$264.16
11/29/2019,$267.25
11/27/2019,$267.84
11/26/2019,$264.29
11/25/2019,$266.37
11/22/2019,$261.78
11/21/2019,$262.01
11/20/2019,$263.19
11/19/2019,$266.29
11/18/2019,$267.1
11/15/2019,$265.76
11/14/2019,$262.64
11/13/2019,$264.47
11/12/2019,$261.96
11/11/2019,$262.2
11/08/2019,$260.14
11/07/2019,$259.43
11/06/2019,$257.24
11/05/2019,$257.13
11/04/2019,$257.5
11/01/2019,$255.82
10/31/2019,$248.76
10/30/2019,$243.26
10/29/2019,$243.29
10/28/2019,$249.05
10/25/2019,$246.58
10/24/2019,$243.58
10/23/2019,$243.18
10/22/2019,$239.96
10/21/2019,$240.51
10/18/2019,$236.41
10/17/2019,$235.28
10/16/2019,$234.37
10/15/2019,$235.32
10/14/2019,$235.87
10/11/2019,$236.21
10/10/2019,$230.09
10/09/2019,$227.03
10/08/2019,$224.4
10/07/2019,$227.06
10/04/2019,$227.01
10/03/2019,$220.82
10/02/2019,$218.96
10/01/2019,$224.59
09/30/2019,$223.97
09/27/2019,$218.82
09/26/2019,$219.89
09/25/2019,$221.03
09/24/2019,$217.68
09/23/2019,$218.72
09/20/2019,$217.73
09/19/2019,$220.96
09/18/2019,$222.77
09/17/2019,$220.7
09/16/2019,$219.9
09/13/2019,$218.75
09/12/2019,$223.085
09/11/2019,$223.59
09/10/2019,$216.7
09/09/2019,$214.17
09/06/2019,$213.26
09/05/2019,$213.28
09/04/2019,$209.19
09/03/2019,$205.7
08/30/2019,$208.74
08/29/2019,$209.01
08/28/2019,$205.53
08/27/2019,$204.16
08/26/2019,$206.49
08/23/2019,$202.64
08/22/2019,$212.46
08/21/2019,$212.64
08/20/2019,$210.36
08/19/2019,$210.35
08/16/2019,$206.5
08/15/2019,$201.74
08/14/2019,$202.75
08/13/2019,$208.97
08/12/2019,$200.48
08/09/2019,$200.99
08/08/2019,$203.43
08/07/2019,$199.04
08/06/2019,$197
08/05/2019,$193.34
08/02/2019,$204.02
08/01/2019,$208.43
07/31/2019,$213.04
07/30/2019,$208.78
07/29/2019,$209.68
07/26/2019,$207.74
07/25/2019,$207.02
07/24/2019,$208.67
07/23/2019,$208.84
07/22/2019,$207.22
07/19/2019,$202.59
07/18/2019,$205.66
07/17/2019,$203.35
07/16/2019,$204.5
07/15/2019,$205.21
07/12/2019,$203.3
07/11/2019,$201.75
07/10/2019,$203.23
07/09/2019,$201.24
07/08/2019,$200.02
07/05/2019,$204.23
07/03/2019,$204.41
07/02/2019,$202.73
07/01/2019,$201.55
06/28/2019,$197.92
06/27/2019,$199.74
06/26/2019,$199.8
06/25/2019,$195.57
06/24/2019,$198.58
06/21/2019,$198.78
06/20/2019,$199.46
06/19/2019,$197.87
06/18/2019,$198.45
06/17/2019,$193.89
06/14/2019,$192.74
06/13/2019,$194.15
06/12/2019,$194.19
06/11/2019,$194.81
06/10/2019,$192.58
06/07/2019,$190.15
06/06/2019,$185.22
06/05/2019,$182.54
06/04/2019,$179.64
06/03/2019,$173.3
05/31/2019,$175.07
05/30/2019,$178.3
05/29/2019,$177.38
05/28/2019,$178.23
05/24/2019,$178.97
05/23/2019,$179.66
05/22/2019,$182.78
05/21/2019,$186.6
05/20/2019,$183.09
05/17/2019,$189
05/16/2019,$190.08
05/15/2019,$190.92
05/14/2019,$188.66
05/13/2019,$185.72
05/10/2019,$197.18
05/09/2019,$200.72
05/08/2019,$202.9
05/07/2019,$202.86
05/06/2019,$208.48
05/03/2019,$211.75
05/02/2019,$209.15
05/01/2019,$210.52
04/30/2019,$200.67
04/29/2019,$204.61
04/26/2019,$204.3
04/25/2019,$205.28
04/24/2019,$207.16
04/23/2019,$207.48
04/22/2019,$204.53
04/18/2019,$203.86
04/17/2019,$203.13
04/16/2019,$199.25
04/15/2019,$199.23
04/12/2019,$198.87
04/11/2019,$198.95
04/10/2019,$200.62
04/09/2019,$199.5
04/08/2019,$200.1
04/05/2019,$197
04/04/2019,$195.69
04/03/2019,$195.35
04/02/2019,$194.02
04/01/2019,$191.24
03/29/2019,$189.95
03/28/2019,$188.72
03/27/2019,$188.47
03/26/2019,$186.79
03/25/2019,$188.74
03/22/2019,$191.05
03/21/2019,$195.09
03/20/2019,$188.16
03/19/2019,$186.53
03/18/2019,$188.02
03/15/2019,$186.12
03/14/2019,$183.73
03/13/2019,$181.71
03/12/2019,$180.91
03/11/2019,$178.9
03/08/2019,$172.91
03/07/2019,$172.5
03/06/2019,$174.52
03/05/2019,$175.53
03/04/2019,$175.85
03/01/2019,$174.97
02/28/2019,$173.15
02/27/2019,$174.87
02/26/2019,$174.33
